crh_Latn,ukr
Sumı vilâyetinden tahliyenen bağlı oturış keçirildi,Відбулась нарада щодо евакуації із Сумської області
Tahliye etilgen insanlarğa para yardımını ödemek içün ReNazirligi eñ az 71 million grivna üleştirdi,Мінреінтеграції перерахувало понад 71 мільйон гривень на виплати грошової допомоги евакуйованим
Esirlikten azat etilgen insanlarnıñ keyfiyetli bedeniy ve ruhiy tedaviylenmelerini temin etmek,"Забезпечити якісне фізичне і психічне відновлення осіб, звільнених з полону"
Eñ az 26 biñ ukrain vatandaşı mahsus vaziyetlerde habersiz ğayıp olğan olaraq tanındı,Понад 26 тисяч українців вважаються зниклими безвісти за особливих обставин
İrına Vereşçuk DAKniñ vaqtınca yaşağanları yerlerge dair oturışta iştirak etti,Ірина Верещук взяла участь у заході щодо місць тимчасового проживання для ВПО
"Mesken kiralıq etmek içün Kıyiv, Çerkası ve Kirovohrad vilâyetlerindeki DAK, para yardımını ala bilirler","ВПО у Київській, Черкаській та Кіровоградській областях можуть отримати грошову допомогу на оренду житла"
Arman ayında ReNazirligi esir etilgen insanlarğa devlet yardımını ödemek içün eñ az 90 million grivna ayırdı,У серпні Мінреінтеграції перерахувало понад 90 мільйонів гривень на виплату державної допомоги полоненим
Ukrainada ihtisasiy tasilniñ inkişafı içün bir leyha başladı,Стартував проєкт для розвитку професійної освіти в Україні
Gaagada Ukrainanıñ rusiyege qarşı davasında diñleme oturışları başlana,У Гаазі починаються слухання у справі за позовом України проти росії
"Ukrainada internatlar yoq olmalılar, er bir ukrain balasınıñ evi olmalı, – dep Prezıdent Zelenskıy","Україна має прийти до того, щоб інтернати перестали існувати, а для всіх українських дітей знайшовся дім, – Президент Зеленський"
İçtimaiy qorçalav organları Bozulğan ve viran etilgen mesken siciline irişim almalı. Bundan evel bu tür meskenniñ saiplerine ödemelerni toqtatılmaz,Органи соцзахисту мають отримати доступ до реєстру зруйнованого та пошкодженого житла. А до тих пір не можна призупиняти виплати власникам такого житла
ReNaziligi “Qırımtatar tilini inkişaf institutı”nen işdeşlik memorandumını imzaladı,Мінреінтеграції підписано меморандум про співпрацю з «Інститутом розвитку кримськотатарської мови»
Kıyivde Haqlara cinaiy makemeniñ tarla ofisi çalışmağa başladı,У Києві почав роботу польовий офіс Міжнародного кримінального суду
İşğalden azat etilgen topraqlarda iqtisadiyatnı canlandırmaq: “İrişilir kreditler 5-7-9%” programması çerçivesinde biznesni destek etme şaraiti mükemmelleştirdiler,Відновлення економіки на деокупованих територіях: удосконалено умови підтримки бізнесу за програмою «Доступні кредити 5-7-9%»
